Name, Number, Tech field number, ?, Tech class, ?
Tech109 : "Outpost Ship"               ,  109,    TF23,  2,    9,    1;
Tech110 : "Moleculartronic Computer"   ,  110,    TF49,  1,   25,    1;
Tech111 : "Multi-Wave Ecm Jammer"      ,  111,    TF64,  1,   28,    1;
Tech112 : "Multi-Phased Shields"       ,  112,    TF52,  0,   34,    0;
Tech113 : "Nano Disassemblers"         ,  113,    TF53,  1,    4,    1;
Tech114 : "Neural Scanner"             ,  114,    TF15,  1,   12,    1;
Tech115 : "Neutron Blaster"            ,  115,    TF54,  1,   26,    1;
Tech116 : "Neutron Scanner"            ,  116,    TF54,  1,   24,    1;
Tech117 : "Neutronium Armor"           ,  117,    TF50,  1,   32,    1;
Tech118 : "Neutronium Bomb"            ,  118,    TF40,  1,   19,    1;
Tech119 : "Nuclear Bomb"               ,  119,    TF55,  0,   19,    1;
Tech120 : "Nuclear Drive"              ,  120,    TF55,  0,   18,    1;
Tech121 : "Nuclear Missile"            ,  121,    TF22,  0,   21,    1;
Tech122 : "Optronic Computer"          ,  122,    TF56,  1,   25,    1;
Tech123 : "Particle Beam"              ,  123,    TF74,  3,   26,    1;
Tech124 : "Personal Shield"            ,  124,    TF27,  1,   15,    1;
Tech125 : "Phase Shifter"              ,  125,   65535,  3,   38,    0;
Tech126 : "Phasing Cloak"              ,  126,    TF68,  1,   37,    0;
Tech127 : "Phasor"                     ,  127,    TF52,  1,   26,    1;
Tech128 : "Phasor Rifle"               ,  128,    TF52,  1,   16,    1;
Tech129 : "Planetary Barrier Shield"   ,  129,    TF68,  1,   10,    1;
Tech130 : "Planetary Flux Shield"      ,  130,    TF61,  1,   10,    1;
Tech131 : "Planetary Gravity Generator",  131,    TF16,  0,    1,    1;
Tech132 : "Planetary Missile Base"     ,  132,     TF3,  0,    9,    1;
Tech133 : "Ground Batteries"           ,  133,    TF19,  1,    9,    1;
Tech134 : "Planetary Radiation Shield" ,  134,    TF45,  0,   10,    1;
Tech135 : "Planetary Stock Exchange"   ,  135,    TF43,  0,    3,    1;
Tech136 : "Planetary Supercomputer"    ,  136,    TF60,  1,    2,    1;
Tech137 : "Plasma Cannon"              ,  137,    TF59,  1,   26,    1;
Tech138 : "Plasma Rifle"               ,  138,    TF59,  1,   16,    1;
Tech139 : "Plasma Torpedoes"           ,  139,    TF40,  1,   21,    1;
Tech140 : "Plasma Web"                 ,  140,    TF59,  1,   38,    1;
Tech141 : "Pleasure Dome"              ,  141,    TF49,  1,   40,    1;
Tech142 : "Pollution Processor"        ,  142,     TF2,  1,    4,    1;
Tech143 : "Positronic Computer"        ,  143,    TF60,  1,   25,    1;
Tech144 : "Powered Armor"              ,  144,    TF62,  1,   15,    1;
Tech145 : "Pulse Rifle"                ,  145,     TF0,  0,   16,    1;
Tech146 : "Proton Torpedoes"           ,  146,    TF38,  1,   21,    1;
Tech147 : "Psionics"                   ,  147,    TF30,  1,   12,    1;
Tech148 : "Pulsar"                     ,  148,    TF72,  1,   28,    1;
Tech149 : "Pulson Missile"             ,  149,    TF47,  1,   21,    1;
Tech150 : "Quantum Detonator"          ,  150,    TF74,  3,   17,    0;
Tech151 : "Rangemaster Unit"           ,  151,    TF14,  1,   27,    1;
Tech152 : "Recyclotron"                ,  152,     TF8,  1,    1,    1;
Tech153 : "Reflection Field"           ,  153,    TF74,  3,   34,    0;
Tech154 : "Robotic Factory"            ,  154,    TF11,  1,    1,    1;
Tech155 : "Research Laboratory"        ,  155,    TF56,  1,    2,    1;
Tech156 : "Robo-Miners"                ,  156,    TF62,  1,    1,    1;
Tech157 : "Space Scanner"              ,  157,    TF57,  0,   24,    1;
Tech158 : "Scout Lab"                  ,  158,    TF15,  0,   36,    0;
Tech159 : "Security Stations"          ,  159,    TF15,  1,   36,    1;
Tech160 : "Sensors"                    ,  160,    TF39,  1,   24,    1;
Tech161 : "Shield Capacitors"          ,  161,    TF41,  0,   34,    0;
Tech162 : "Soil Enrichment"            ,  162,     TF1,  1,    0,    1;
Tech163 : "Space Academy"              ,  163,    TF10,  1,    5,    1;
Tech164 : "Spaceport"                  ,  164,    TF20,  0,    3,    1;
Tech165 : "Spatial Compressor"         ,  165,    TF74,  3,   28,    1;
Tech166 : "Spy Network"                ,  166,     TF0,  0,   12,    1;
Tech167 : "Standard Fuel Cells"        ,  167,    TF22,  0,   39,    1;
Tech168 : "Star Base"                  ,  168,    TF29,  0,    9,    1;
Tech169 : "Star Fortress"              ,  169,    TF42,  1,    9,    1;
Tech170 : "Star Gate"                  ,  170,    TF69,  1,   17,    1;
Tech171 : "Stasis Field"               ,  171,    TF26,  1,   38,    0;
Tech172 : "Stealth Field"              ,  172,    TF27,  1,   37,    0;
Tech173 : "Stealth Suit"               ,  173,    TF27,  1,   12,    1;
Tech174 : "Stellar Converter"          ,  174,    TF69,  1,    9,    1;
Tech175 : "Structural Analyzer"        ,  175,    TF25,  1,   27,    1;
Tech176 : "Sub-Space Communications"   ,  176,    TF65,  1,   14,    1;
Tech177 : "Sub-Space Teleporter"       ,  177,    TF71,  1,   36,    0;
Tech178 : "Subterranean Farms"         ,  178,    TF44,  1,    0,    1;
Tech179 : "Survival Pods"              ,  179,    TF21,  0,   17,    1;
Tech180 : "Tachyon Communications"     ,  180,    TF66,  1,   14,    1;
Tech181 : "Tachyon Scanner"            ,  181,    TF66,  1,   24,    1;
Tech182 : "Telepathic Training"        ,  182,    TF34,  1,   12,    1;
Tech183 : "Terraforming"               ,  183,    TF35,  0,    0,    1;
Tech184 : "Thorium Fuel Cells"         ,  184,    TF48,  1,   39,    1;
Tech185 : "Time Warp Facilitator"      ,  185,    TF69,  1,   17,    1;
Tech186 : "Titan Construction"         ,  186,    TF19,  1,   22,    1;
Tech187 : "Titanium Armor"             ,  187,    TF22,  0,   32,    1;
Tech188 : "Tractor Beam"               ,  188,    TF16,  1,   35,    0;
Tech189 : "Transport"                  ,  189,    TF23,  0,   22,    1;
Tech190 : "Transporters"               ,  190,    TF46,  1,   35,    1;
Tech191 : "Tritanium Armor"            ,  191,     TF9,  1,   32,    1;
Tech192 : "Troop Pods"                 ,  192,    TF21,  0,   35,    0;
Tech193 : "Universal Antidote"         ,  193,    TF17,  1,    6,    1;
Tech194 : "Urridium Fuel Cells"        ,  194,    TF50,  1,   39,    1;
Tech195 : "Virtual Reality Network"    ,  195,    TF33,  1,   40,    1;
Tech196 : "Warp Dissipater"            ,  196,    TF45,  1,   36,    1;
Tech197 : "Warp Interdictor"           ,  197,    TF72,  1,    5,    0;
Tech198 : "Weather Control System"     ,  198,    TF44,  1,    0,    1;
Tech199 : "Wide Area Jammer"           ,  199,    TF61,  1,   28,    1;
Tech200 : "Xeno Psychology"            ,  200,    TF73,  0,   11,    1;
Tech201 : "Xentronium Armor"           ,  201,    TF74,  3,   32,    1;
Tech202 : "Zeon Missile"               ,  202,    TF50,  1,   21,    1;
Tech203 : "Zortrium Armor"             ,  203,    TF53,  1,   32,    1;
Tech204 : "Biology"                    ,  204,    TF75,  0,   41,    1;
Tech205 : "Power"                      ,  205,    TF76,  0,   41,    1;
Tech206 : "Physics"                    ,  206,    TF77,  0,   41,    1;
Tech207 : "Construction"               ,  207,    TF78,  0,   41,    1;
Tech208 : "Fields"                     ,  208,    TF79,  0,   41,    1;
Tech209 : "Chemistry"                  ,  209,    TF80,  0,   41,    1;
Tech210 : "Computers"                  ,  210,    TF81,  0,   41,    1;
Tech211 : "Sociology"                  ,  211,    TF82,  0,   41,    1;
